timestamp,line_state,line_zone,is_safe,has_motion,dist,foot_x,foot_y
2025-11-24T11:00:08.834151,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,422,1080
2025-11-24T11:00:09.197071,TRANSITION,INSIDE_DANGER,False,True,-182.0,1802,574
2025-11-24T11:00:09.370292,DANGER_STABLE,INSIDE_DANGER,False,True,-182.0,1803,574
2025-11-24T11:00:09.531623,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1439,1080
2025-11-24T11:00:09.597824,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,1441,1080
2025-11-24T11:00:09.664994,TRANSITION,INSIDE_DANGER,False,True,-183.0,1804,573
2025-11-24T11:00:09.731818,DANGER_STABLE,INSIDE_DANGER,False,True,-184.0,1804,572
2025-11-24T11:00:09.900683,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1142,1080
2025-11-24T11:00:09.965556,SAFE_STABLE,OUTSIDE_SAFE,True,True,180.0,1126,936
2025-11-24T11:00:10.664393,TRANSITION,INSIDE_DANGER,False,True,-95.0,1320,661
2025-11-24T11:00:10.731848,DANGER_STABLE,INSIDE_DANGER,False,True,-95.0,1320,661
2025-11-24T11:00:11.032139,TRANSITION,OUTSIDE_SAFE,True,True,303.0,1043,1059
2025-11-24T11:00:11.098905,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,417,1080
2025-11-24T11:00:11.229722,TRANSITION,INSIDE_DANGER,False,True,-99.0,1221,657
2025-11-24T11:00:11.297329,TRANSITION,OUTSIDE_SAFE,True,True,324.0,609,1080
2025-11-24T11:00:11.535515,SAFE_STABLE,OUTSIDE_SAFE,True,True,144.0,660,900
2025-11-24T11:00:11.631564,TRANSITION,INSIDE_DANGER,False,True,-26.0,876,730
2025-11-24T11:00:11.664382,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1021,1080
2025-11-24T11:00:11.731577,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,1360,1080
2025-11-24T11:00:16.631770,TRANSITION,INSIDE_DANGER,False,True,-222.0,551,534
2025-11-24T11:00:16.664857,TRANSITION,OUTSIDE_SAFE,True,True,324.0,759,1080
2025-11-24T11:00:16.731876,SAFE_STABLE,OUTSIDE_SAFE,True,True,79.0,1041,835
2025-11-24T11:00:17.831591,TRANSITION,INSIDE_DANGER,False,True,-37.0,581,719
2025-11-24T11:00:17.865114,TRANSITION,OUTSIDE_SAFE,True,True,324.0,910,1080
2025-11-24T11:00:17.931582,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,963,1080
2025-11-24T11:00:48.743578,TRANSITION,INSIDE_DANGER,False,True,-46.0,1463,710
2025-11-24T11:00:48.777292,TRANSITION,OUTSIDE_SAFE,True,True,324.0,1348,1080
2025-11-24T11:00:48.847326,SAFE_STABLE,OUTSIDE_SAFE,True,True,324.0,1103,1080
