timestamp_iso,safety_level,zone,motion_score,num_boxes
2025-11-24T10:54:10.259804,SAFE,ON_LINE,0.5157,17
2025-11-24T10:54:10.394024,SAFE,ON_LINE,0.0952,24
2025-11-24T10:54:10.522105,SAFE,ON_LINE,0.4773,19
2025-11-24T10:54:10.654984,SAFE,ON_LINE,0.4892,24
2025-11-24T10:54:10.790093,SAFE,ON_LINE,0.4680,19
2025-11-24T10:54:10.928660,SAFE,ON_LINE,0.4465,18
2025-11-24T10:54:11.056181,SAFE,ON_LINE,0.0384,18
2025-11-24T10:54:11.187362,SAFE,ON_LINE,0.0386,18
2025-11-24T10:54:11.325194,SAFE,ON_LINE,0.0661,21
2025-11-24T10:54:11.457106,SAFE,OUTSIDE_SAFE,0.0002,0
2025-11-24T10:54:11.592766,SAFE,ON_LINE,0.2707,13
2025-11-24T10:54:11.729097,SAFE,ON_LINE,0.4294,16
2025-11-24T10:54:11.860626,SAFE,ON_LINE,0.0422,16
2025-11-24T10:54:11.994105,SAFE,ON_LINE,0.1109,27
2025-11-24T10:54:12.131331,SAFE,ON_LINE,0.0831,26
2025-11-24T10:54:12.260661,SAFE,ON_LINE,0.4847,17
2025-11-24T10:54:12.394171,SAFE,ON_LINE,0.4970,17
2025-11-24T10:54:12.532261,SAFE,ON_LINE,0.0946,35
2025-11-24T10:54:12.661217,SAFE,ON_LINE,0.4734,18
2025-11-24T10:54:12.793026,SAFE,ON_LINE,0.4199,16
2025-11-24T10:54:12.929520,SAFE,ON_LINE,0.2873,10
2025-11-24T10:54:13.063240,SAFE,ON_LINE,0.4781,18
2025-11-24T10:54:13.196566,SAFE,ON_LINE,0.1161,30
2025-11-24T10:54:13.329156,SAFE,ON_LINE,0.4706,16
2025-11-24T10:54:13.462204,SAFE,ON_LINE,0.2476,25
2025-11-24T10:54:13.594427,SAFE,ON_LINE,0.4477,16
2025-11-24T10:54:13.729516,SAFE,ON_LINE,0.3739,22
2025-11-24T10:54:13.857591,SAFE,ON_LINE,0.3150,23
2025-11-24T10:54:13.994730,SAFE,ON_LINE,0.3125,19
